Tên,Đánh giá,Thời gian,Review,sentiment,pain_point_flag,category,summary
Trip.com Member,4 sao,2 tháng trước trên,"Tôi yêu bạn, Mochi. Bạn thật sự đáng yêu. Đúng vậy, tôi đặt vé đến nơi này chỉ để gặp hai người dễ thương này; Mochi & Gatsby. Nơi này cũng nằm ở một khu phố quyến rũ - nếu bạn thích người dân địa phương. Hãy sử dụng Google Maps và bạn có thể di chuyển nhanh chóng như người bản địa. Có trạm xe buýt công cộng gần đó.",Positive,False,Location_and_Access,Charming neighborhood with easy access to public transport.
Trip.com Member,4 sao,10 tháng trước trên,Tôi yêu thú cưng. Vị trí tốt và dễ dàng di chuyển. Nhân viên thân thiện. Cơ sở vật chất tốt.,Positive,False,Others,"Good location, friendly staff, and nice facilities."
Trip.com Member,4 sao,một năm trước trên,"Khách sạn nằm ở ngoại ô, nhưng có rất nhiều quán ăn gần đó! Có một khu chợ đêm nhỏ bán bánh tráng rất rẻ! Ngoài ra còn có một phố bar ​​và một phố nhà hàng Nhật Bản, khá độc đáo! Gần đó cũng có nhiều quán cà phê, tuy nhiên đồ uống hơi đắt! …",Positive,True,Pricing_and_Fees,"Great location with many dining options, but drinks are expensive."
Trip.com Member,4 sao,một năm trước trên,"Khách sạn này khá tốt để ở một đêm, nhưng nếu bạn muốn ở nhiều ngày hơn thì tôi nghĩ nó không tiện lắm. Có rất nhiều mèo trong sảnh khách sạn và nếu bạn bị dị ứng thì hãy cẩn thận vì chúng đến và ngồi khắp nơi. Bữa sáng gồm trà và cháo yến …",Negative,True,Others,Presence of many cats in the lobby may cause issues for guests with allergies.
Trip.com Member,4 sao,một năm trước trên,Nơi nghỉ tuyệt vời để ở vài ngày. Rất hiện đại. Có vài thú cưng sống ở đó. Yên tĩnh và lịch sự vào ban đêm. Tôi thực sự thích nơi này - bạn được ăn sáng miễn phí đến 11 giờ ;) Hơi xa trung tâm một chút.,Positive,True,Location_and_Access,"Modern and quiet place with free breakfast, though slightly far from the center."
Trip.com Member,5 sao,một năm trước trên,"Chủ nhà (Coco) rất tốt bụng. Chó và mèo rất đáng yêu!!!! Tôi thích phòng ngủ tập thể chỉ dành cho nữ vì chỉ có 4 giường. Giường rất thoải mái. Phòng tắm riêng rất tuyệt! Phòng cũng có một cửa sổ lớn với dây leo xung quanh, rất quyến rũ và …",Positive,False,Boutique_Experience,"Very friendly host, comfortable beds, and charming room decor."
Trip.com Member,5 sao,2 năm trước trên,Nhà nghỉ rất tốt với môi trường sống tuyệt vời và khu vực sinh hoạt chung hoàn hảo để trò chuyện với những người đến từ khắp nơi trên thế giới. Rất nên chọn nếu bạn là người đi du lịch một mình và sẵn sàng chia sẻ câu chuyện của mình với người khác.,Positive,False,Boutique_Experience,Great social environment for solo travelers.
Hạnh Trịnh,5 sao,3 tháng trước trên,"Good good nice, phòng ok , có bầy tiếp tân 4 chân yêu lắm dth",Positive,False,Boutique_Experience,Good room and lovely pets on-site.
tui's journey,5 sao,2 năm trước trên,"Không gian ấm cúng cùng chó mèo, uống cafe chill. Gần dorm cái gì cũng có do mình không có thuê xe nên ngại di chuyển nhiều, từ nhà thuốc cửa hàng tiện lợi đến quán ăn. Chị chủ dễ thương, mấy bé lễ tân nhiệt tình giúp mình đỡ tốn thời gian suy nghĩ. 10₫ nha",Positive,False,Location_and_Access,Cozy atmosphere with helpful staff and convenient access to amenities.
Vũ Thị Kim Chi,5 sao,một năm trước trên,"Phòng ok, giá ok. Nhân sự không được thân thiện lắm. Có mấy con chó mèo dễ thương",Neutral,True,Staff_Service,"Room and price are fine, but the staff is not very friendly."
Cậu Tú Vlog CT,5 sao,10 tháng trước trên,"Tiện nghi  ,sạch sẽ, giá hợp lý",Positive,False,Room_Amenities,"Clean, well-equipped, and reasonably priced."
Gao Thoc,5 sao,9 tháng trước trên,Quá tuyệt vời,Positive,False,Others,Excellent experience.
Vo Thuy,1 sao,một năm trước trên,"Mình có đặt phòng qua Traveloka và có yêu cầu xuất hoá đơn thì Traveloka không nhận xuất hoá đơn và bên khách sạn cũng từ chối.
2 bên đùn đẩy cho nhau.
Các bạn đặt phòng nên cân nhắc nếu phải xuất VAT như mình khi đặt qua Traveloka 😵‍💫

Phòng nhỏ, vị trí vào ngõ bé.",Negative,True,Pricing_and_Fees,Issues with VAT invoice issuance and small room size in a narrow alley.
Thien Nguyen,1 sao,8 tháng trước trên,"Phòng thì cũ, giường thì dơ mà phục vụ và thái độ quá tệ",Negative,True,Cleanliness,"Dirty room, old facilities, and poor staff attitude."
P S,1 sao,Thời gian chỉnh sửa: 2 năm trước trên,"Khách sạn sạch sẽ phòng ốc ổn
Nhân viên thân thiện
Mỗi tội bị mất đồ của mình …",Negative,True,Others,"Clean room and friendly staff, but personal belongings were stolen."
Nguyen Anna,1 sao,6 năm trước trên,Bạn nam nhân ở quầy tiếp tân thái độ không tốt. Nói chuyện vô duyên. Khách đến mà hỏi “ có đi khách sạn nhiều chưa “ . Muốn đòi thêm tiền. Thái độ không tôn trọng khách.  (24/11 lúc 22:30 ),Negative,True,Staff_Service,Receptionist had a rude attitude and attempted to solicit extra money.
Ngoc Nguyen,1 sao,một năm trước trên,DV tệ thông tin phòng ko rõ ràng,Negative,True,Staff_Service,Poor service and unclear room information.
Bao Khoa Thai Le,1 sao,một tháng trước trên,Nhân viên lễ tân thái độ với khách hàng,Negative,True,Staff_Service,Receptionist had a bad attitude towards the customer.
Nam Anh Nguyen,1 sao,8 tháng trước trên,"Tôi đã ở lại khách sạn này một đêm vào tháng 11 năm 2025 và đó là một trải nghiệm RẤT TỆ, KINH KHỦNG. …",Negative,True,Others,Overall terrible and horrible experience.
Nick Ferguson,1 sao,2 năm trước trên,"Tôi đã ở đây nhiều lần, và mỗi lần đều gặp phải một vấn đề khác nhau. Vị trí thì tuyệt vời, gần quán cà phê yêu thích của tôi, đó là một điểm cộng lớn nên tôi mới cho họ nhiều cơ hội như vậy. …",Negative,True,Others,Great location but consistent issues across multiple stays.
Trọng Nhân Trương,1 sao,một năm trước trên,"Chính sách khách sạn cực kỳ cứng nhắc – Trải nghiệm đáng thất vọng
Tôi đã có một trải nghiệm rất khó chịu với khách sạn này do chính sách thiếu linh hoạt của họ. Ban đầu tôi đặt phòng 5 đêm qua Agoda, nhưng vô tình chọn 1 khách …",Negative,True,Pricing_and_Fees,Extremely rigid hotel policies leading to a frustrating experience.
Manuel Hackl,1 sao,3 năm trước trên,Được quảng cáo là khách sạn 4 sao. Thực chất nó chỉ là một tòa nhà căn hộ dịch vụ chứ không phải khách sạn đúng nghĩa. Ngay cả khách sạn 2 sao cũng có tiện nghi tốt hơn. Hình ảnh đăng tải không phản ánh thực tế. Bồn tắm Jacuzzi được quảng …,Negative,True,Boutique_Experience,Misleading advertising regarding star rating and poor facility quality.
Anders Bobek,1 sao,3 năm trước trên,"Máy lạnh không hoạt động nên phòng nóng như phòng xông hơi. Ga trải giường bẩn, đồ đạc của khách trước vẫn còn trong phòng khi chúng tôi đến - và chỗ đó đã kín phòng nên chúng tôi không thể có được một phòng sạch sẽ với máy lạnh hoạt động …",Negative,True,Cleanliness,Broken air conditioning and dirty room with previous guest's belongings left behind.
Brett,1 sao,6 năm trước trên,"Nơi này đã xuống cấp trầm trọng trong vài tuần qua. Thứ nhất, bạn sẽ không thể ngủ được ở đây vì tiếng ồn xây dựng kinh khủng nhất mà bạn từng nghe trong đời. Tiếng búa, tiếng khoan vang thẳng vào tai bạn lúc 7:30 sáng mỗi ngày, KỂ CẢ cuối …",Negative,True,Noise_and_Quietness,Severe construction noise starting early in the morning.
813namanhn,1 sao,8 tháng trước trên,"Tôi đã ở lại một đêm vào tháng 11 năm 2025 và đó là một trải nghiệm RẤT TỆ, KINH KHỦNG tại khách sạn này (The Bloom Pham Viet Chanh).|1/ Phòng: Ga trải giường cũ và bẩn, sờn rách. Ga bọc nệm có mùi khó chịu và bị ố vàng.|2/ Dịch vụ: Tôi đã …",Negative,True,Cleanliness,"Dirty, torn, and smelly bed linens."
Jack Nguyen,1 sao,8 tháng trước trên,"Dịch vụ tệ, giường cũ và bẩn.",Negative,True,Staff_Service,"Poor service and dirty, old beds."
DONGHO KIM,1 sao,3 tháng trước trên,"Dịch vụ tệ hại. Tôi không hề làm bẩn ga trải giường, nhưng họ tính thêm 1,3 triệu VND với lý do tôi làm bẩn, nên tôi phải gọi cảnh sát để giải quyết. Hình như đây là vấn đề thường xuyên xảy ra. Mọi người hãy cẩn thận.",Negative,True,Pricing_and_Fees,Unfair extra charges for alleged linen damage leading to police involvement.
tan nguyen,1 sao,một tuần trước trên,"Hãy tự chịu rủi ro khi ở khách sạn này! Nhân viên không hề đề cập đến việc có một cột phát sóng di động ngay bên ngoài cửa sổ phòng tôi, cách khoảng 3 mét.
Tôi yêu cầu đổi phòng, nhưng họ nói không thể và từ chối hoàn tiền nếu tôi hủy đặt phòng; tôi đã rời đi ngay lập tức mà không do dự. An toàn sức khỏe quan trọng hơn nhiều.",Negative,True,Others,Safety concerns regarding a cell tower outside the window and poor customer service.
Trip.com Member,2 sao,một năm trước trên,"Tôi đã đặt hai phòng cho một người bạn và thanh toán trước. Vào ngày đến, họ nói rằng phòng đôi chỉ dành cho một người, và hai người sẽ phải trả thêm 1 triệu Đài tệ. Ban đầu bạn tôi muốn xem phòng, nghĩ rằng nếu được xem thì họ sẽ bị lừa …",Negative,True,Pricing_and_Fees,Unexpected extra charges for additional guests despite prior booking.
Quan Nguyen,2 sao,một năm trước trên,"Tôi đã ở đây vài lần rồi, tổng cộng 4 lần, có lần ngắn ngày và có lần dài ngày. Tôi thậm chí còn rủ bạn mình đặt phòng ở khách sạn này nữa. Trước đây ở đây không có vấn đề gì lớn. Gần nhiều nơi. Ví dụ, quận 1 và 2 chỉ cách đó 10 phút. Khu …",Positive,False,Location_and_Access,Good location with convenient access to district 1 and 2.
Tsu An Chung,2 sao,một năm trước trên,"Tôi từng rất yêu thích khách sạn này và hầu như cứ một đến hai tuần lại ở đây một lần. Nhưng gần đây nó khiến tôi rất thất vọng. Khách sạn không cho phép trả phòng muộn dù dịch vụ này được ghi trên ứng dụng khi tôi đặt phòng, WiFi thì kém, …",Negative,True,Staff_Service,Refusal of late check-out and poor WiFi quality.
Carina Herzog,2 sao,2 năm trước trên,"Khách sạn có vị trí khá tốt. Tuy nhiên, các phòng đã cũ và tường được sơn lại. Bữa sáng cũng khá sơ sài... Tôi không biết những đánh giá 5 sao đến từ đâu; tôi chắc chắn không thấy khách sạn này xứng đáng 5 sao. Nó chỉ là khách sạn 2 sao là …",Negative,True,Room_Amenities,Old room conditions and poor breakfast quality.
Mihika Kulkarni,2 sao,3 năm trước trên,"Kỳ nghỉ này không tệ, căn hộ có thiết kế tuyệt vời và phòng cũng ổn. Tôi thích thiết kế và an ninh ở đây. Tuy nhiên, với cùng mức giá hoặc hơn một chút - với tư cách là khách du lịch, tôi khuyên nên ở trung tâm thành phố vì một vài lý do: …",Neutral,True,Location_and_Access,"The hotel design and security are good, but the location is inconvenient for tourists compared to the city center."
Trip.com Member,2 sao,một năm trước trên,"Ấn tượng ban đầu, phòng trông khá ổn nhưng khi quan sát kỹ hơn thì thấy không sạch sẽ. Nếu cởi giày ra, bạn sẽ cảm thấy những hạt bụi nhỏ trên sàn. Tôi còn tìm thấy một con bọ nhỏ trên giường và một con cá bạc cỡ trung bình trong bồn rửa …",Negative,True,Cleanliness,"The room was not clean, with dust on the floor, a bug on the bed, and a silverfish in the sink."
REVIEWER,3 sao,3 tuần trước trên,Cũng ổn.,Neutral,False,,The stay was acceptable.
Roya Destroyaa,3 sao,6 tháng trước trên,"Khách sạn không quảng cáo quá mức và trung thực về bản chất của mình; một khách sạn ba sao ổn định, phù hợp cho một hoặc hai đêm. Phòng rộng rãi và sạch sẽ, nhưng nệm giường tầng quá cứng, giống như ngủ trên những tấm bê tông. …",Neutral,True,Room_Amenities,"The room was clean and spacious, but the mattress was extremely hard."
Anch Thukral,3 sao,2 năm trước trên,"Nhìn chung, trải nghiệm của tôi khá tích cực và nhân viên rất dễ chịu. Tuy nhiên, tôi chỉ cho 3 sao vì thấy họ không cung cấp đủ nước cam cho bữa sáng. Ngay cả khi yêu cầu thêm, ly chỉ được rót đầy một phần tư, chủ yếu là đá. Tôi rất thích uống nước cam mỗi sáng và sẽ đánh giá họ 5 sao nếu họ đảm bảo cung cấp đủ nước cam cho tôi.",Neutral,True,F_and_B,"Staff were pleasant, but the breakfast service was disappointing due to insufficient orange juice."
Relax03384974085,3 sao,3 năm trước trên,"Nhân viên lễ tân và phục vụ bữa sáng rất nhiệt tình và thân thiện. | Thật không may, phòng của chúng tôi không giống như trong ảnh, và có một bức tường chắn trước cửa sổ. Một số bức tường trong phòng bị bẩn. | Tuy nhiên, khách sạn có vị trí tốt.",Negative,True,Room_Amenities,"Staff were friendly, but the room did not match the photos, had dirty walls, and an obstructed window view."
Cosme T,3 sao,3 năm trước trên,"Nằm cách trung tâm Thành phố Hồ Chí Minh khoảng 30 phút đi bộ, phòng ở mức trung bình, hơi xuống cấp và không giống với ảnh trên Booking.com. Ban công không thể sử dụng và bị bỏ hoang, còn hồ bơi trên sân thượng không dùng được. Bữa sáng ngon và đầy đủ.",Negative,True,Room_Amenities,"The room was worn out, did not match online photos, and facilities like the balcony and pool were unusable."
Ronny Engler,3 sao,3 năm trước trên,Thật tiếc là những ngày tốt đẹp nhất đã qua rồi. Nhân viên rất tốt và nhiệt tình – phòng hơi cũ – bồn tắm nước nóng thì liên tục được “bảo trì” (chúng tôi không thấy ai sửa chữa nó trong suốt bốn ngày). …,Negative,True,Room_Amenities,"The hotel is aging, and the hot tub was out of service for the entire duration of the stay."
Trip.com Member,4 sao,7 tháng trước trên,"Phòng khách sạn hơi nhỏ so với giá tiền, và bữa sáng thì hạn chế, chỉ có 1-3 món. Các phòng cũng không cách âm tốt, nên những người làm việc bên ngoài có thể nghe thấy mọi thứ. Tiếng ồn bên ngoài đã khiến tôi không ngủ ngon giấc vào ngày hôm đó.",Negative,True,Noise_and_Quietness,"The room was small for the price, breakfast was limited, and poor soundproofing caused sleep disturbance."
Trip.com Member,4 sao,2 tháng trước trên,"Giá cả hợp lý. Tuy nhiên, một số phòng không có tầm nhìn. Thật đáng tiếc.",Neutral,True,Room_Amenities,"The price is reasonable, but the lack of a view in some rooms is disappointing."
Janie Lin,4 sao,một năm trước trên,"Phòng ốc nhìn chung có hơi nhỏ, giá cả nhìn chung có hơi cao so với chất lượng phòng.
Các bạn nhân viên nhiệt tình và hỗ trợ tốt.",Negative,True,Pricing_and_Fees,"Room size is small and price is high relative to quality, despite good staff service."
Thanh Ung,4 sao,một năm trước trên,Nơi đây phù hợp với những người ngoại quốc đi công tác (nước ngoài)vì những tiện nghi và giá cả hợp lý OK,Positive,False,Pricing_and_Fees,Reasonable pricing and amenities suitable for business travelers.
Trip.com Member,4 sao,một tháng trước trên,"Tôi chọn nơi này chủ yếu vì có thể đậu xe máy ở đây. Ngoài ra, bồn tắm ngâm sâu rất hấp dẫn đối với tôi, vì tôi thích tắm bồn. Thêm nữa, khu vực này là một khu phố Nhật Bản khác ở Thành phố Hồ Chí Minh mà tôi chưa từng đến trước đây, vì vậy …",Positive,False,Room_Amenities,"Appreciated the parking availability, deep soaking tub, and the unique location."
Masa Okamura,4 sao,6 tháng trước trên,"Ý kiến ​​có thể khác nhau tùy thuộc vào phòng, nhưng dù sao đi nữa, ngay cả trong các phòng khách sạn cũng cần cải thiện đáng kể. Bữa sáng, hơn hết, rất đáng thất vọng - quá đơn giản. Những người khác cũng có ý kiến ​​tương tự, nhưng nếu …",Negative,True,F_and_B,Room conditions need improvement and the breakfast was very disappointing and simple.
NOZAWA HIROKI (ののの),4 sao,8 tháng trước trên,"Đây là lần đầu tiên tôi ở tại quận Bình Thạnh. Đây là khu phố Nhật Bản. Xung quanh có rất nhiều nhà hàng Nhật. Có rất nhiều người Nhật. Phòng rộng rãi và bồn tắm lớn, rất tuyệt. Tôi chỉ ở một đêm nên không dùng bếp, nhưng nó được trang bị …",Positive,False,Room_Amenities,Spacious room with a large bathtub and convenient location in the Japanese district.
